age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,outcome_object,location,operation,officer_defined_ethnicity,type,operation_name,object_of_search
,A no further action disposal,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-03T20:55:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.539189', 'street': {'id': 964900, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.142008'}",False,Black,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T14:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528295', 'street': {'id': 960913, 'name': 'On or near Tonbridge Street'}, 'longitude': '-0.124229'}",False,White,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2019-05-04T14:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.528295', 'street': {'id': 960913, 'name': 'On or near Tonbridge Street'}, 'longitude': '-0.124229'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T17:30:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.548013', 'street': {'id': 967970, 'name': 'On or near Torriano Avenue'}, 'longitude': '-0.130832'}",False,Other,Person search,,Controlled drugs
over 34,A no further action disposal,True,White - Irish,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T14:45:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.532630', 'street': {'id': 964998, 'name': 'On or near Harrington Square'}, 'longitude': '-0.138426'}",False,White,Person search,,Controlled drugs
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2019-05-04T23:40:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.525084', 'street': {'id': 960650, 'name': 'On or near Tottenham Court Road'}, 'longitude': '-0.138344'}",False,White,Person search,,Offensive weapons
18-24,Community resolution,True,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-03T18:30:00+00:00,,"{'id': 'bu-community-resolution', 'name': 'Community resolution'}","{'latitude': '51.528124', 'street': {'id': 960656, 'name': 'On or near Prince Of Wales Passage'}, 'longitude': '-0.138898'}",False,Black,Person search,,Controlled drugs
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T20:25:00+00:00,,"{'id': 'bu-arrest', 'name': 'Arrest'}","{'latitude': '51.541025', 'street': {'id': 964917, 'name': 'On or near Hawley Crescent'}, 'longitude': '-0.143231'}",False,White,Person search,,Controlled drugs
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-05T01:52:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.544006', 'street': {'id': 964852, 'name': ""On or near Reed'S Place""}, 'longitude': '-0.140125'}",False,Black,Person and Vehicle search,,Controlled drugs
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2019-05-04T20:00:00+00:00,,"{'id': 'bu-no-further-action', 'name': 'A no further action disposal'}","{'latitude': '51.548013', 'street': {'id': 967970, 'name': 'On or near Torriano Avenue'}, 'longitude': '-0.130832'}",False,Black,Person search,,Controlled drugs
